INV00010453	1	6077214	6077314	6078077	6078177
INV00000049	1	21030846	21030946	21031789	21031889
INV00016561	1	25017533	25017633	25036978	25037078
INV00016585	1	25165913	25166013	25176890	25176990
INV00029023	1	81481616	81481716	81545057	81545157
INV00029587	1	84891838	84891938	84892787	84892887
INV00030781	1	91510723	91510823	91511682	91511782
INV00031550	1	96840721	96840821	96841151	96841251
INV00054270	1	188757467	188757567	188758566	188758666
INV00056167	1	197046951	197047051	197048245	197048345
INV00000100	1	207445926	207446026	207446324	207446424
INV00060668	1	217211716	217211816	217212474	217212574
INV00060813	1	218258156	218258256	218258616	218258716
INV00063013	1	226687589	226687689	226691429	226691529
INV00000082	1	230566481	230566581	230566794	230566894
Sniffles2.INV.28A5M1	2	54242643	54242743	54243979	54244079
INV00103636	2	83785947	83786047	83787997	83788097
INV00105733	2	88869352	88869452	88875614	88875714
INV00105813	2	88991576	88991676	88992733	88992833
INV00105833	2	89126251	89126351	89151577	89151677
INV00105856	2	89230600	89230700	89253789	89253889
INV00110432	2	100660604	100660704	100661276	100661376
INV01000381	2	123154629	123154729	123155527	123155627
INV00125808	2	158610377	158610477	158612814	158612914
INV00125814	2	158735295	158735395	158735747	158735847
INV00127715	2	169284330	169284430	169285509	169285609
INV00130541	2	181205468	181205568	181206078	181206178
INV00000346	2	186780678	186780778	186781407	186781507
INV00137855	2	216448061	216448161	216448886	216448986
INV00000439	2	223366285	223366385	223369029	223369129
INV00000419	3	9575668	9575768	9576301	9576401
INV00157745	3	12462722	12462822	12463153	12463253
INV00160695	3	26318259	26318359	26320487	26320587
INV00100622	3	43809087	43809187	43810091	43810191
INV00000500	3	44715115	44715215	44716464	44716564
INV00170415	3	70703630	70703730	70704188	70704288
INV00171290	3	75506765	75506865	75508025	75508125
Sniffles2.INV.3C1AM2	3	90095931	90096031	90097119	90097219
INV00183321	3	131876842	131876942	131878400	131878500
INV00000630	3	134712679	134712779	134721814	134721914
INV00189491	3	160843978	160844078	160847093	160847193
INV00218093	4	9038335	9038435	9057149	9057249
